220,220,Amphenol Corp,NYS:APH,23.8,Medium ESG Risk
221,221,Amplifon SpA,MIL:AMP,14.3,Low ESG Risk
222,222,Ampol Ltd.,ASX:ALD,33.3,High ESG Risk
223,223,ams AG,SWX:AMS,36.7,High ESG Risk
224,224,Amundi SA,PAR:AMUN,19.3,Low ESG Risk
225,225,ANA Holdings Inc.,TKS:9202,27.0,Medium ESG Risk
226,226,Anadolu Efes Biracilik ve Malt Sanayii A.S.,IST:AEFES,21.0,Medium ESG Risk
227,227,Analog Devices Inc,NAS:ADI,25.5,Medium ESG Risk
228,228,"Anaplan, Inc.",NYS:PLAN,19.7,Low ESG Risk
229,229,Andritz AG,WBO:ANDR,31.3,High ESG Risk
230,230,"Angang Steel Co., Ltd.",HKG:347,45.1,Severe ESG Risk
231,231,"Angel Yeast Co., Ltd",SHG:600298,40.7,Severe ESG Risk
232,232,Anglo American Platinum Ltd.,JSE:AMS,26.1,Medium ESG Risk
233,233,Anglo American PLC,LON:AAL,23.5,Medium ESG Risk
234,234,AngloGold Ashanti Ltd.,JSE:ANG,28.6,Medium ESG Risk
235,235,Anheuser-Busch InBev SA/NV,BRU:ABI,25.8,Medium ESG Risk
236,236,"Anhui Conch Cement Co., Ltd.",HKG:914,31.7,High ESG Risk
237,237,"Anhui Kouzi Distillery Co., Ltd.",SHG:603589,35.1,High ESG Risk
238,238,"Annaly Capital Management, Inc.",NYS:NLY,16.3,Low ESG Risk
239,239,Annington Homes Limited,-,19.8,Low ESG Risk
240,240,Anritsu Corp.,TKS:6754,11.8,Low ESG Risk
241,241,Ansell Ltd,ASX:ANN,18.0,Low ESG Risk
242,242,Ansys Inc,NAS:ANSS,14.9,Low ESG Risk
243,243,ANTA Sports Products Ltd.,HKG:2020,18.0,Low ESG Risk
244,244,Antero Midstream Corp.,NYS:AM,33.3,High ESG Risk
245,245,Antero Resources Corp.,NYS:AR,45.8,Severe ESG Risk
246,246,Anthem Inc,NYS:ANTM,12.3,Low ESG Risk
247,247,Antofagasta PLC,LON:ANTO,26.3,Medium ESG Risk
248,248,AO World PLC,LON:AO,19.2,Low ESG Risk
249,249,Aon Plc,NYS:AON,18.8,Low ESG Risk
250,250,"Aozora Bank, Ltd.",TKS:8304,25.7,Medium ESG Risk
251,251,APA Group,ASX:APA,29.6,Medium ESG Risk
252,252,Apache Corp,-,38.9,High ESG Risk
253,253,Apartment Investment & Management Co.,NYS:AIV,18.7,Low ESG Risk
254,254,Apax Global Alpha Ltd.,LON:APAX,28.1,Medium ESG Risk
255,255,Aperam SA,AMS:APAM,25.6,Medium ESG Risk
256,256,"Aphria, Inc.",TSE:APHA,40.9,Severe ESG Risk
257,257,"Apollo Global Management, Inc.",NYS:APO,23.4,Medium ESG Risk
258,258,Appen Ltd,ASX:APX,21.8,Medium ESG Risk
259,259,"Apple Hospitality REIT, Inc.",NYS:APLE,20.9,Medium ESG Risk
260,260,Apple Inc,NAS:AAPL,16.9,Low ESG Risk
261,261,Applied Materials Inc,NAS:AMAT,14.7,Low ESG Risk
262,262,"APRR, SA",-,8.2,Negligible ESG Risk
263,263,"AptarGroup, Inc.",NYS:ATR,15.4,Low ESG Risk
264,264,Aptiv PLC,NYS:APTV,13.5,Low ESG Risk
265,265,Arab National Bank,SAU:1080,32.4,High ESG Risk
266,266,Aramark,NYS:ARMK,25.3,Medium ESG Risk
267,267,ARB Corp. Ltd.,ASX:ARB,26.9,Medium ESG Risk
268,268,Arbonia AG,SWX:ARBN,27.2,Medium ESG Risk
269,269,ARC Resources Ltd.,TSE:ARX,30.7,High ESG Risk
270,270,"Arca Continental, S. A. B. de C. V.",MEX:AC,19.1,Low ESG Risk
271,271,Arcadis NV,AMS:ARCAD,17.9,Low ESG Risk
272,272,ArcelorMittal SA,AMS:MT,37.6,High ESG Risk
273,273,Arch Capital Group Ltd.,NAS:ACGL,22.0,Medium ESG Risk
274,274,Archer Ltd,OSL:ARCH,28.8,Medium ESG Risk
275,275,Archer-Daniels-Midland Co.,NYS:ADM,34.2,High ESG Risk
276,276,Ardagh Group SA,NYS:ARD,18.0,Low ESG Risk
277,277,Ares Management Corp.,NYS:ARES,27.8,Medium ESG Risk
278,278,Argenta Banque d'Epargne SA,-,22.8,Medium ESG Risk
279,279,argenx SE,BRU:ARGX,33.2,High ESG Risk
280,280,Arion Banki HF,ICE:ARION,21.0,Medium ESG Risk
281,281,Arise AB,OME:ARISE,27.2,Medium ESG Risk
282,282,"Arista Networks, Inc.",NYS:ANET,17.6,Low ESG Risk
283,283,Aristocrat Leisure Ltd.,ASX:ALL,23.5,Medium ESG Risk
284,284,"Aritzia, Inc.",TSE:ATZ,16.4,Low ESG Risk
285,285,Arjo AB,OME:ARJO.B,35.2,High ESG Risk
286,286,Arkema SA,PAR:AKE,26.6,Medium ESG Risk
287,287,"Armstrong World Industries, Inc.",NYS:AWI,24.6,Medium ESG Risk
288,288,Aroundtown S.A.,ETR:AT1,12.6,Low ESG Risk
289,289,Arrow Electronics Inc,NYS:ARW,10.3,Low ESG Risk
290,290,Arthur J. Gallagher & Co,NYS:AJG,24.5,Medium ESG Risk
291,291,Artis Real Estate Investment Trust,TSE:AX.UT,20.1,Medium ESG Risk
