281,GBLB,Groupe Bruxelles Lambert SA,38,Industry: FBN Diversified Financial Services and Capital Markets, 4,45,43
282,GBLB,Groupe Bruxelles Lambert SA,38,Industry: FBN Diversified Financial Services and Capital Markets, 4,45,43
283,ALK,"Alaska Air Group, Inc.",51,Industry: AIR Airlines,42,53,55
284,LEG,"Leggett & Platt, Incorporated",10,Industry: DHP Household Durables, 3, 3,17
285,LDOS,"Leidos Holdings, Inc.",25,Industry: TSV IT services,43, 9,26
286,LEN,Lennar Corporation,8,Industry: HOM Homebuilding, 0, 4,23
287,LLY,Eli Lilly and Company,29,Industry: DRG Pharmaceuticals,76,13,35
288,LNC,Lincoln National Corporation,54,Industry: INS Insurance,73,41,57
289,LIN,Linde plc,79,Industry: CHM Chemicals,92,71,76
290,CL,Colgate-Palmolive Company,81,Industry: HOU Household Products,93,83,76
291,LKQ,LKQ Corporation,11,Industry: RTS Retailing, 2, 4,19
292,LMT,Lockheed Martin Corporation,74,Industry: ARO Aerospace & Defense,74,65,80
293,L,Loews Corporation,17,Industry: INS Insurance,15,14,19
294,LOW,"Lowe's Companies, Inc.",45,Industry: RTS Retailing,52,33,48
295,LUMN,"Lumen Technologies, Inc.",24,Industry: TLS Telecommunication Services,43, 8,28
296,LYB,LyondellBasell Industries N.V.,28,Industry: CHM Chemicals,38,12,33
297,MTB,M&T Bank Corporation,18,Industry: BNK Banks, 0, 6,30
298,MRO,Marathon Oil Corporation,25,Industry: OGX Oil & Gas Upstream & Integrated,10,20,37
299,MRO,Marathon Oil Corporation,25,Industry: OGX Oil & Gas Upstream & Integrated,10,20,37
300,MKTX,MarketAxess Holdings Inc.,20,Industry: FBN Diversified Financial Services and Capital Markets, 0, 8,32
301,MAR,"Marriott International, Inc.",48,"Industry: TRT Hotels, Resorts & Cruise Lines",59,39,51
302,MMC,"Marsh & McLennan Companies, Inc.",19,Industry: INS Insurance, 7,11,26
303,LMT,Lockheed Martin Corporation,74,Industry: ARO Aerospace & Defense,74,65,80
304,MAS,Masco Corporation,23,Industry: BLD Building Products,18,18,32
305,MA,Mastercard Incorporated,62,Industry: TSV IT services,79,65,54
306,MKC,"McCormick & Company, Incorporated",56,Industry: FOA Food Products,64,46,58
307,MXIM,"Maxim Integrated Products, Inc.",37,Industry: SEM Semiconductors & Semiconductor Equipment,51,22,35
308,MCD,McDonald's Corporation,21,Industry: REX Restaurants & Leisure Facilities,36, 5,29
309,MCK,McKesson Corporation,30,Industry: HEA Health Care Providers & Services,44,16,39
310,MDT,Medtronic plc,70,Industry: MTC Health Care Equipment & Supplies,65,76,67
311,MRK,"Merck & Co., Inc.",39,Industry: DRG Pharmaceuticals,74,29,41
312,MET,"MetLife, Inc.",64,Industry: INS Insurance,78,51,69
313,MTD,Mettler-Toledo International Inc.,34,Industry: LIF Life Sciences Tools & Services,48,22,40
314,MGM,MGM Resorts International,47,Industry: CNO Casinos & Gaming,48,40,53
315,MCHP,Microchip Technology Incorporated,27,Industry: SEM Semiconductors & Semiconductor Equipment,41,16,22
316,MU,"Micron Technology, Inc.",56,Industry: SEM Semiconductors & Semiconductor Equipment,58,56,55
317,MSFT,Microsoft Corporation,57,Industry: SOF Software,63,47,59
318,MAA,"Mid-America Apartment Communities, Inc.",7,Industry: REA Real Estate, 2, 0,25
319,MHK,"Mohawk Industries, Inc.",23,Industry: DHP Household Durables,30,23,21
320,TAP,Molson Coors Beverage Company,33,Industry: BVG Beverages,47,39,23
